Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	sample-01	sample-02	sample-03	sample-04	sample-05	sample-06	sample-07	sample-08	sample-09	sample-10	sample-11	sample-12	sample-13	sample-14	sample-15	sample-16
sp|P29401|TKT_HUMAN	P29401	TKT_HUMAN	TKT	623	Homo sapiens OX=9606	Transketolase 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	9	9	9	11240078	11240078	11240078	5C(57.0214), 8K(304.2071), 9K(304.2071), N-term(304.2071)			2493275.0547	9702.8889	9868.5920	30.1102	9.1533	0.0661	0.0636	142.0640	11.7534	219.1162	58.2808	117.3836	120.9864	1406.5228	225.5753	70.4490
sp|P29692|EF1D_HUMAN	P29692	EF1D_HUMAN	EEF1D	281	Homo sapiens OX=9606	Elongation factor 1-delta 	1:Experimental evidence at protein level	1.0000	0.9990	8	6	8	9	6	9	27953665	19891176	27953665	11K(304.2071), 12K(304.2071), 12M(15.9949), 13K(304.2071), 5C(57.0214), 8K(304.2071), 9K(304.2071), N-term(304.2071), N-term(42.0106)			3998518.4551	12907.5697	11922.3996	29.3453	3.5933	0.0842	0.0000	324.2438	20.8719	381.1952	97.7122	127.1579	192.0028	3569.6489	228.1396	131.7985
sp|P29966|MARCS_HUMAN	P29966	MARCS_HUMAN	MARCKS	332	Homo sapiens OX=9606	Myristoylated alanine-rich C-kinase substrate 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	2930543	2930543	2930543	14K(304.2071), 7K(304.2071), N-term(304.2071)			746205.8086	2381.1628	2428.6049	8.0082	2.3288	0.0793	0.0000	38.6321	6.9886	168.0504	14.3604	27.7532	54.6664	872.7063	75.0897	42.8336
sp|P29992|GNA11_HUMAN	P29992	GNA11_HUMAN	GNA11	359	Homo sapiens OX=9606	Guanine nucleotide-binding protein subunit alpha-11 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	 60769	     0	 60769	N-term(304.2071)			6392.3159	0.0000	32.9768	0.7017	0.0000	0.0000	0.0000	3.3686	0.0000	0.0000	0.0000	0.0000	2.7971	19.5660	4.2693	3.3322
sp|P30040|ERP29_HUMAN	P30040	ERP29_HUMAN	ERP29	261	Homo sapiens OX=9606	Endoplasmic reticulum resident protein 29 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	2773341	2773341	2773341	12K(304.2071), N-term(304.2071)			303188.3750	1154.5011	1047.6420	3.5970	0.2527	0.0000	0.0000	13.3585	1.5275	22.2634	4.2446	17.3229	9.9849	179.1150	25.0739	13.7719
sp|P30041|PRDX6_HUMAN	P30041	PRDX6_HUMAN	PRDX6	224	Homo sapiens OX=9606	Peroxiredoxin-6 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	7574090	7574090	7574090	17K(304.2071), 6C(57.0214), 7K(304.2071), N-term(304.2071)			1558068.0781	5280.1596	2726.0137	5.4364	1.2875	0.0499	0.0438	180.0200	3.8359	221.8533	55.7113	59.4378	97.8886	1355.9354	102.3809	52.2481
sp|P30044|PRDX5_HUMAN	P30044	PRDX5_HUMAN	PRDX5	214	Homo sapiens OX=9606	Peroxiredoxin-5, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	8050722	8050722	8050722	11K(304.2071), 13C(57.0214), 14C(57.0214), 16K(304.2071), 8K(304.2071), N-term(304.2071)			938094.8828	2923.0339	1947.1588	3.5402	0.4862	0.0000	0.0000	31.2369	4.0909	77.1700	14.0682	19.8115	54.4401	636.4690	34.6700	39.0019
sp|P30049|ATPD_HUMAN	P30049	ATPD_HUMAN	ATP5F1D	168	Homo sapiens OX=9606	ATP synthase subunit delta, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9989	1	1	1	1	1	1	3128339	3128339	3128339	9K(304.2071), N-term(304.2071)			489373.6250	1770.9055	1548.8598	5.5272	0.9393	0.0659	0.0349	19.6670	2.5322	35.6730	8.1029	17.2235	25.5359	373.1050	42.9147	14.7882
sp|P30050|RL12_HUMAN	P30050	RL12_HUMAN	RPL12	165	Homo sapiens OX=9606	60S ribosomal protein L12 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	7	7	7	27980342	27980342	27980342	11C(57.0214), 15K(304.2071), 16C(57.0214), 16K(304.2071), 1C(57.0214), 7K(304.2071), 9K(304.2071), N-term(304.2071)			2288571.5156	7613.2081	6025.3239	17.2303	2.0914	0.0000	0.0000	105.8265	8.9072	181.5543	41.5722	68.5819	75.7745	1951.3803	186.1567	53.6178
sp|P30084|ECHM_HUMAN	P30084	ECHM_HUMAN	ECHS1	290	Homo sapiens OX=9606	Enoyl-CoA hydratase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	901397	901397	901397	9K(304.2071), N-term(304.2071)			250105.4688	820.4543	846.5215	1.5944	0.2660	0.0000	0.0000	33.0740	20.2956	131.0256	30.8186	65.2969	117.5766	939.4066	217.5979	72.8730
sp|P30085|KCY_HUMAN	P30085	KCY_HUMAN	CMPK1	196	Homo sapiens OX=9606	UMP-CMP kinase 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	4152570	4152570	4152570	12K(304.2071), N-term(304.2071)			558453.5781	2139.5271	2078.0017	8.3077	1.7451	0.0000	0.0000	24.4362	1.4315	60.9708	13.1764	14.6504	23.9884	381.8768	37.4580	21.2668
sp|P30086|PEBP1_HUMAN	P30086	PEBP1_HUMAN	PEBP1	187	Homo sapiens OX=9606	Phosphatidylethanolamine-binding protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	7758355	7758355	7758355	15K(304.2071), 8K(304.2071), N-term(304.2071)			881258.1641	2701.0893	2838.9670	9.1740	1.0569	0.0000	0.0000	41.2236	3.8969	51.9975	12.2379	16.2628	27.8499	443.9298	39.9942	18.5456
sp|P30101|PDIA3_HUMAN	P30101	PDIA3_HUMAN	PDIA3	505	Homo sapiens OX=9606	Protein disulfide-isomerase A3 	1:Experimental evidence at protein level	1.0000	0.9990	13	12	13	14	13	14	40883857	38860806	40883857	10C(57.0214), 10K(304.2071), 12K(304.2071), 16K(304.2071), 3C(57.0214), 7K(304.2071), 8K(304.2071), N-term(304.2071)			9710741.4487	30145.4814	17808.5370	44.8596	3.1066	0.1271	0.0431	527.3908	46.4928	450.3522	192.9701	214.5154	253.2320	6828.5824	502.6815	174.0752
sp|P30153|2AAA_HUMAN	P30153	2AAA_HUMAN	PPP2R1A	589	Homo sapiens OX=9606	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform 	1:Experimental evidence at protein level	1.0000	0.9990	13	8	13	13	8	13	5443261	1991972	5443261	10C(57.0214), 10K(304.2071), 16K(304.2071), 18K(304.2071), 3C(57.0214), 4C(57.0214), 8K(304.2071), 9C(57.0214), N-term(304.2071), N-term(42.0106)			1087886.2360	3728.9777	2952.8244	5.4882	1.5306	0.0533	0.0000	149.7674	9.8146	169.4609	63.1120	78.2162	115.0969	1304.3577	122.7653	66.5080
sp|P30419|NMT1_HUMAN	P30419	NMT1_HUMAN	NMT1	496	Homo sapiens OX=9606	Glycylpeptide N-tetradecanoyltransferase 1 	1:Experimental evidence at protein level	1.0000	0.9990	5	4	5	5	4	5	2020153	2020153	2020153	11M(15.9949), 13K(304.2071), 14K(304.2071), 16K(304.2071), 9K(304.2071), N-term(304.2071), N-term(42.0106)			290190.1699	980.2151	1159.9795	2.5319	0.2441	0.0000	0.0000	35.1353	3.9833	48.9296	14.4679	28.0442	26.0770	456.6038	34.0161	31.5853
sp|P30520|PURA2_HUMAN	P30520	PURA2_HUMAN	ADSS2	456	Homo sapiens OX=9606	Adenylosuccinate synthetase isozyme 2 	1:Experimental evidence at protein level	1.0000	0.9990	10	9	10	10	9	10	5639168	5639168	5639168	11K(304.2071), 13C(57.0214), 14K(304.2071), 7K(304.2071), 9K(304.2071), N-term(304.2071)			955949.2363	3405.5659	2594.4972	7.0848	0.4462	0.0000	0.0335	137.2389	6.7402	151.8149	44.7507	70.1199	81.9706	1098.2879	109.5656	53.0180
sp|P30626|SORCN_HUMAN	P30626	SORCN_HUMAN	SRI	198	Homo sapiens OX=9606	Sorcin 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	1471346	1471346	1471346	12K(304.2071), 1C(57.0214), N-term(304.2071)			393715.4688	1431.4201	1343.7707	2.6297	1.1718	0.0795	0.0000	57.1000	4.8862	48.5608	18.0589	23.8730	42.7977	420.8069	28.7781	22.0784
sp|P31040|SDHA_HUMAN	P31040	SDHA_HUMAN	SDHA	664	Homo sapiens OX=9606	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	2350853	2350853	2350853	8K(304.2071), N-term(304.2071)			407593.2500	1465.0084	1157.8020	3.5046	0.4239	0.0000	0.0000	28.4225	2.9810	33.4234	5.4782	18.0401	16.1708	180.3928	20.6128	13.5660
sp|P31146|COR1A_HUMAN	P31146	COR1A_HUMAN	CORO1A	461	Homo sapiens OX=9606	Coronin-1A 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	5633048	5633048	5633048	10K(304.2071), 11K(304.2071), 32C(57.0214), 34K(304.2071), 4C(57.0214), 8K(304.2071), N-term(304.2071)			1395270.9922	5542.9981	4298.7391	16.6861	1.9161	0.0000	0.0000	33.9691	3.4538	61.1585	15.4283	26.6753	36.6073	407.1702	83.4507	30.3032
sp|P31150|GDIA_HUMAN	P31150	GDIA_HUMAN	GDI1	447	Homo sapiens OX=9606	Rab GDP dissociation inhibitor alpha 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	9353637	1731730	1731730	10K(304.2071), 19K(304.2071), 3C(57.0214), N-term(304.2071)			219172.4883	729.1023	699.1522	2.5350	0.2516	0.0000	0.0000	15.0526	0.0000	22.3561	2.5173	7.1443	19.7093	205.7645	12.4197	8.9156
sp|P31153|METK2_HUMAN	P31153	METK2_HUMAN	MAT2A	395	Homo sapiens OX=9606	S-adenosylmethionine synthase isoform type-2 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	2698694	2698694	2698694	2C(57.0214), 9K(304.2071), N-term(304.2071)			813212.3086	2810.2548	3522.8369	10.6495	0.7297	0.0638	0.0260	103.2121	7.7407	111.9242	36.9468	38.2419	58.4724	925.5821	67.7516	44.4474
sp|P31689|DNJA1_HUMAN	P31689	DNJA1_HUMAN	DNAJA1	397	Homo sapiens OX=9606	DnaJ homolog subfamily A member 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	4216970	4216970	4216970	13K(304.2071), N-term(304.2071)			562420.0312	2177.0565	2673.2196	6.7509	1.4767	0.0000	0.0000	26.0726	2.6856	49.1823	10.3621	18.6711	23.9960	338.7863	38.6130	27.1706
sp|P31751|AKT2_HUMAN	P31751	AKT2_HUMAN	AKT2	481	Homo sapiens OX=9606	RAC-beta serine/threonine-protein kinase 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	254796	     0	254796	3C(57.0214), N-term(304.2071)			25440.5742	64.5681	90.5156	0.0000	0.0000	0.0000	0.0000	2.9256	0.0000	3.9947	0.0000	0.0000	2.5284	40.3561	4.3419	3.5833
sp|P31930|QCR1_HUMAN	P31930	QCR1_HUMAN	UQCRC1	480	Homo sapiens OX=9606	Cytochrome b-c1 complex subunit 1, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	2375661	2375661	2375661	14C(57.0214), 14K(304.2071), N-term(304.2071)			368312.2109	1385.6576	1319.9464	3.7733	0.2867	0.0000	0.0000	31.5997	2.1548	27.6763	11.9857	22.4819	12.0576	248.2921	21.0358	14.0171
sp|P31939|PUR9_HUMAN	P31939	PUR9_HUMAN	ATIC	592	Homo sapiens OX=9606	Bifunctional purine biosynthesis protein ATIC 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	5038402	5038402	5038402	N-term(304.2071)			913430.6465	3286.8605	2626.5482	5.3420	1.2899	0.0000	0.0000	120.3116	6.2898	134.2725	54.7496	62.8258	80.2400	1048.4221	86.6928	70.1556
sp|P31943|HNRH1_HUMAN	P31943	HNRH1_HUMAN	HNRNPH1	449	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein H 	1:Experimental evidence at protein level	1.0000	0.9990	10	4	10	12	5	12	18967500	3238578	18967500	16K(304.2071), 17K(304.2071), 6C(57.0214), 8K(304.2071), N-term(304.2071)			2019234.8438	6808.2801	7330.3018	19.0671	2.9881	0.0451	0.0000	164.9617	23.3599	221.9013	89.1493	78.4756	144.3990	1385.6287	135.8748	80.9184
sp|P31946|1433B_HUMAN	P31946	1433B_HUMAN	YWHAB	246	Homo sapiens OX=9606	14-3-3 protein beta/alpha 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	67912842	14618828	14618828	18K(304.2071), 19K(304.2071), 9C(57.0214), N-term(304.2071)			269923.8975	1031.0709	796.8726	2.4572	0.0000	0.0000	0.0000	90.2522	2.7744	86.1163	32.9809	33.0774	41.4902	644.6088	87.9167	32.4930
sp|P31948|STIP1_HUMAN	P31948	STIP1_HUMAN	STIP1	543	Homo sapiens OX=9606	Stress-induced-phosphoprotein 1 	1:Experimental evidence at protein level	1.0000	0.9990	12	12	12	12	12	12	13502614	13502614	13502614	13K(304.2071), 14K(304.2071), 2C(57.0214), 5C(57.0214), 7K(304.2071), 8C(57.0214), 8K(304.2071), 9K(304.2071), N-term(304.2071)			3726346.8496	14690.4959	9347.8438	32.4694	3.1201	0.2048	0.0409	272.7213	15.0767	397.9672	99.6043	115.6662	236.6626	2812.9706	196.6431	157.1887
sp|P31949|S10AB_HUMAN	P31949	S10AB_HUMAN	S100A11	105	Homo sapiens OX=9606	Protein S100-A11 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	5	5	5	66061846	66061846	66061846	11K(304.2071), 16K(304.2071), 1C(57.0214), 7M(15.9949), N-term(304.2071)			3468776.4619	9111.1384	7087.2333	15.6208	1.4107	0.0865	0.0000	281.6500	4.4600	261.5506	117.6736	100.6727	217.0215	3468.3228	101.4520	93.3183
sp|P32119|PRDX2_HUMAN	P32119	PRDX2_HUMAN	PRDX2	198	Homo sapiens OX=9606	Peroxiredoxin-2 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	3	4	3	4	14071592	2305811	6683786	15C(57.0214), 20K(304.2071), 3C(57.0214), N-term(304.2071)			530334.7109	1881.4056	999.9194	2.0712	0.2452	0.0000	0.0000	176.3573	4.7571	110.9407	65.7654	53.4866	83.7646	870.6833	53.4324	33.9416
sp|P32322|P5CR1_HUMAN	P32322	P5CR1_HUMAN	PYCR1	319	Homo sapiens OX=9606	Pyrroline-5-carboxylate reductase 1, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	3	0	3	2823578	     0	2823578	10K(304.2071), 11C(57.0214), 11K(304.2071), N-term(304.2071)		sp|Q96C36|P5CR2_HUMAN	323235.2188	1199.4993	1228.5653	3.2908	0.2753	0.0000	0.0000	21.2869	0.9650	30.6126	10.7611	12.1387	19.4195	260.4527	26.0780	14.7182
sp|P32969|RL9_HUMAN	P32969	RL9_HUMAN	RPL9	192	Homo sapiens OX=9606	60S ribosomal protein L9 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	6429826	6429826	6429826	14K(304.2071), 27K(304.2071), N-term(304.2071)			1198674.1064	3929.7305	1522.9192	5.5321	0.0000	0.0881	0.0000	398.9893	12.2983	170.1780	159.1599	121.6508	115.9593	1726.2978	156.8062	92.5041
sp|P33176|KINH_HUMAN	P33176	KINH_HUMAN	KIF5B	963	Homo sapiens OX=9606	Kinesin-1 heavy chain 	1:Experimental evidence at protein level	1.0000	0.9990	8	6	8	8	6	8	2235259	2235259	2235259	11K(304.2071), 12K(304.2071), 13K(304.2071), 15C(57.0214), 17K(304.2071), 20K(304.2071), 8K(304.2071), N-term(304.2071)			1022144.5781	5895.2107	5125.9846	21.1914	3.8536	0.1420	0.0984	71.5534	15.9014	104.5859	40.7381	47.1718	72.9598	728.5308	80.1578	52.5267
sp|P33316|DUT_HUMAN	P33316	DUT_HUMAN	DUT	252	Homo sapiens OX=9606	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	1941523	1941523	1941523	12K(304.2071), N-term(304.2071)			298584.6875	1181.6284	1472.7984	4.2692	1.2492	0.0000	0.0000	22.2458	2.8465	62.5951	13.0054	18.3076	37.4505	282.3550	35.5635	28.4552
sp|P33991|MCM4_HUMAN	P33991	MCM4_HUMAN	MCM4	863	Homo sapiens OX=9606	DNA replication licensing factor MCM4 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	3051571	3051571	3051571	13K(304.2071), 16K(304.2071), 17K(304.2071), N-term(304.2071)			666709.5859	2347.7240	2824.1277	9.3323	2.4002	0.0627	0.0000	63.3513	5.7711	123.0266	26.2890	43.0065	51.5501	585.4340	67.4787	45.1604
sp|P33992|MCM5_HUMAN	P33992	MCM5_HUMAN	MCM5	734	Homo sapiens OX=9606	DNA replication licensing factor MCM5 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	6	6	6	2349100	2290095	2290095	13M(15.9949), N-term(304.2071)			942870.5547	3539.9101	3344.7274	8.5107	1.4604	0.0000	0.0000	115.6643	10.2856	256.5372	59.0535	73.6414	123.8411	939.4443	103.8806	81.9706
sp|P33993|MCM7_HUMAN	P33993	MCM7_HUMAN	MCM7	719	Homo sapiens OX=9606	DNA replication licensing factor MCM7 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	2817225	2817225	2817225	N-term(304.2071)			594519.9453	2195.2912	1843.7649	4.2740	0.2562	0.0000	0.0000	39.8568	2.9021	168.5707	26.6095	34.0793	73.2126	475.0431	44.3639	35.6428
sp|P34897|GLYM_HUMAN	P34897	GLYM_HUMAN	SHMT2	504	Homo sapiens OX=9606	Serine hydroxymethyltransferase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	9	9	9	10451753	10451753	10451753	11C(57.0214), 11K(304.2071), 13K(304.2071), 15C(57.0214), 7K(304.2071), 8K(304.2071), 9C(57.0214), N-term(304.2071)			2284649.0234	8441.2766	6136.3114	19.2313	2.9547	0.0597	0.0323	180.9647	24.9933	185.5161	81.0872	98.3396	131.6759	1695.1700	151.2517	62.0082
sp|P34932|HSP74_HUMAN	P34932	HSP74_HUMAN	HSPA4	840	Homo sapiens OX=9606	Heat shock 70 kDa protein 4 	1:Experimental evidence at protein level	1.0000	0.9990	17	13	17	17	13	17	9916711	8825496	9916711	10C(57.0214), 14K(304.2071), 15K(304.2071), 17K(304.2071), 2C(57.0214), 4M(15.9949), 6C(57.0214), 6M(15.9949), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)			2797600.0713	9326.9329	7829.2444	19.9857	2.3478	0.0000	0.0321	180.0439	2.7511	246.3251	72.2895	89.2051	118.1748	2484.5268	239.6056	108.8439
sp|P35221|CTNA1_HUMAN	P35221	CTNA1_HUMAN	CTNNA1	906	Homo sapiens OX=9606	Catenin alpha-1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	406971	406971	406971	18K(304.2071), 19K(304.2071), 9C(57.0214), N-term(304.2071)			168859.7246	508.4041	720.4605	1.6987	0.2091	0.0000	0.0000	20.6159	2.2952	21.5010	10.6282	13.2585	18.8091	182.8257	20.1699	23.7250
sp|P35222|CTNB1_HUMAN	P35222	CTNB1_HUMAN	CTNNB1	781	Homo sapiens OX=9606	Catenin beta-1 	1:Experimental evidence at protein level	1.0000	0.9990	2	1	2	2	1	2	804711	318539	804711	13K(304.2071), 7C(57.0214), N-term(304.2071)			161071.1250	552.3762	907.6371	2.4374	0.5896	0.0000	0.0000	22.1633	4.7199	24.9555	9.6518	11.2013	19.6771	159.4383	30.9376	36.3168
sp|P35232|PHB_HUMAN	P35232	PHB_HUMAN	PHB	272	Homo sapiens OX=9606	Prohibitin 	1:Experimental evidence at protein level	1.0000	0.9990	14	14	14	14	14	14	9914144	9914144	9914144	11K(304.2071), 20K(304.2071), 6C(57.0214), 7K(304.2071), 9K(304.2071), N-term(304.2071)			2694147.0244	9746.9963	5887.3403	16.0299	2.0249	0.0000	0.0000	179.6755	27.5065	267.1207	75.4194	95.4283	174.5131	1762.9628	145.5354	90.3057
sp|P35241|RADI_HUMAN	P35241	RADI_HUMAN	RDX	583	Homo sapiens OX=9606	Radixin 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	8	8	8	28443304	2778674	2778674	10K(304.2071), 12K(304.2071), 13K(304.2071), 16K(304.2071), 7M(15.9949), N-term(304.2071)			855856.8438	2989.9918	3582.6544	11.4743	1.6391	0.0572	0.0000	71.7155	10.4416	130.0869	37.7980	50.8011	65.9621	1241.1862	72.6031	55.9864
sp|P35268|RL22_HUMAN	P35268	RL22_HUMAN	RPL22	128	Homo sapiens OX=9606	60S ribosomal protein L22 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	6473852	6473852	6473852	11K(304.2071), N-term(304.2071)			614907.3750	2302.0888	1433.9733	3.9433	0.5363	0.0837	0.0000	37.7709	4.0853	71.1413	11.7646	26.7318	35.1953	338.0822	47.7922	25.8071
sp|P35579|MYH9_HUMAN	P35579	MYH9_HUMAN	MYH9	1960	Homo sapiens OX=9606	Myosin-9 	1:Experimental evidence at protein level	1.0000	0.9990	58	40	58	82	60	82	47279531	43791447	47279531	10K(304.2071), 10M(15.9949), 11K(304.2071), 12K(304.2071), 12M(15.9949), 14C(57.0214), 14K(304.2071), 15C(57.0214), 15K(304.2071), 16K(304.2071), 17K(304.2071), 19K(304.2071), 1C(57.0214), 1K(304.2071), 20K(304.2071), 21K(304.2071), 23K(304.2071), 2M(15.9949), 3M(15.9949), 4C(57.0214), 4M(15.9949), 6M(15.9949), 7C(57.0214), 7K(304.2071), 7M(15.9949), 8C(57.0214), 8K(304.2071), 8M(15.9949), 9K(304.2071), 9M(15.9949), N-term(304.2071)			23907917.0002	71105.2674	65178.3155	166.7621	19.1141	0.8084	0.0756	2548.4536	155.4427	3448.5327	1294.4762	715.7252	1647.6127	30995.2241	1115.4564	976.0311
sp|P35580|MYH10_HUMAN	P35580	MYH10_HUMAN	MYH10	1976	Homo sapiens OX=9606	Myosin-10 	1:Experimental evidence at protein level	1.0000	0.9990	32	27	32	32	27	32	46328944	9067816	9067816	10K(304.2071), 11K(304.2071), 13K(304.2071), 14K(304.2071), 15K(304.2071), 15M(15.9949), 16K(304.2071), 17K(304.2071), 1K(304.2071), 20M(15.9949), 7K(304.2071), 7M(15.9949), 8K(304.2071), 9K(304.2071), N-term(304.2071)			5018450.9121	16778.8111	21818.6340	59.3077	10.2039	0.4758	0.0308	587.6291	52.3442	724.9796	257.4691	247.5747	408.9083	8147.7303	376.8698	287.0617
sp|P35606|COPB2_HUMAN	P35606	COPB2_HUMAN	COPB2	906	Homo sapiens OX=9606	Coatomer subunit beta' 	1:Experimental evidence at protein level	1.0000	0.9990	11	10	11	11	10	11	13797695	13797695	13797695	10K(304.2071), 13K(304.2071), 17K(304.2071), 18K(304.2071), 4C(57.0214), 7K(304.2071), 9K(304.2071), N-term(304.2071)			1494007.2188	5389.5275	5374.0752	14.2050	1.4405	0.0945	0.0000	108.6798	6.5798	134.5083	49.2019	42.0980	84.1551	1176.9495	91.7434	56.4005
sp|P35637|FUS_HUMAN	P35637	FUS_HUMAN	FUS	526	Homo sapiens OX=9606	RNA-binding protein FUS 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	3	4	2	4	9398087	2331142	9398087	14K(304.2071), 16M(15.9949), 3K(304.2071), 5M(15.9949), N-term(304.2071)			1048377.2266	3506.5123	4390.3340	10.3624	1.6725	0.0000	0.0000	49.8498	2.5299	105.0636	17.0569	32.9711	52.4711	699.0027	56.7810	45.0749
sp|P35659|DEK_HUMAN	P35659	DEK_HUMAN	DEK	375	Homo sapiens OX=9606	Protein DEK 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	2628458	2628458	2628458	12K(304.2071), 13K(304.2071), N-term(304.2071)			448683.2266	1647.4488	2157.9868	5.6373	1.7484	0.0000	0.0000	26.1979	4.3681	46.9505	8.2389	17.2201	31.6978	374.3691	35.2383	25.0104
sp|P35749|MYH11_HUMAN	P35749	MYH11_HUMAN	MYH11	1972	Homo sapiens OX=9606	Myosin-11 	1:Experimental evidence at protein level	1.0000	0.9968	1	1	1	1	1	1	38346603	285465	285465	23K(304.2071)			25875.4824	52.6250	128.4156	0.0000	0.0000	0.0000	0.0000	7.1124	0.0000	8.0726	3.0862	3.1802	6.1645	82.4103	6.0461	4.2406
sp|P35998|PRS7_HUMAN	P35998	PRS7_HUMAN	PSMC2	433	Homo sapiens OX=9606	26S proteasome regulatory subunit 7 	1:Experimental evidence at protein level	1.0000	0.9990	11	11	11	11	11	11	4358564	4358564	4358564	11K(304.2071), 12K(304.2071), 18K(304.2071), 18M(15.9949), 9K(304.2071), N-term(304.2071)			1155786.8350	3810.1703	3934.3062	8.0114	1.2833	0.0000	0.0000	89.6568	8.0931	161.0461	42.5972	56.0103	75.6322	1403.3836	121.5576	53.0179
sp|P36405|ARL3_HUMAN	P36405	ARL3_HUMAN	ARL3	182	Homo sapiens OX=9606	ADP-ribosylation factor-like protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	1788294	1788294	1788294	11K(304.2071), 12K(304.2071), 3C(57.0214), N-term(304.2071)			269090.5293	884.1361	845.3444	2.7365	0.0000	0.0000	0.0000	13.7977	1.9069	22.5896	9.4014	7.4464	14.8660	230.4839	17.2785	14.2497
sp|P36542|ATPG_HUMAN	P36542	ATPG_HUMAN	ATP5F1C	298	Homo sapiens OX=9606	ATP synthase subunit gamma, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	4491304	4491304	4491304	N-term(304.2071)			611178.1328	1877.9984	1243.5271	4.5291	0.3524	0.0000	0.0000	90.0911	10.2570	82.8994	39.4666	37.8035	59.0325	633.7935	51.1611	27.6862
sp|P36543|VATE1_HUMAN	P36543	VATE1_HUMAN	ATP6V1E1	226	Homo sapiens OX=9606	V-type proton ATPase subunit E 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	5	6	6	5	6	6731172	6731172	6731172	12K(304.2071), 14K(304.2071), 7K(304.2071), 9K(304.2071), N-term(304.2071), N-term(42.0106)			1218289.4922	3908.7421	2871.7973	7.8101	1.7478	0.1305	0.1371	113.7267	12.5311	150.9893	50.9760	66.5342	66.1196	978.1770	95.4904	43.2255
sp|P36551|HEM6_HUMAN	P36551	HEM6_HUMAN	CPOX	454	Homo sapiens OX=9606	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	390868	390868	390868	15K(304.2071), N-term(304.2071)			89333.7656	224.7113	469.7613	1.4374	0.0000	0.0000	0.0000	0.0000	1.1507	7.5243	0.0000	3.8087	0.0000	93.4408	7.3579	4.5403
